"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @mallikarjun456: Wah! Re Wah! Did Kejriwal advised all his cronies2say,""allegations against Kejriwal not only ppl believe but his oppone…",FALSE,0,NA,2017-05-23 17:31:22,FALSE,NA,"867070462362357760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Modiji77",13,TRUE,FALSE,NA,NA
"2","RT @Theranaspeaks: Alcohol has tweeted or the account of Kejriwal has been hacked. It should be probed that this person can never speak.
@A…",FALSE,0,NA,2017-05-23 17:31:08,FALSE,NA,"867070405474787329",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Crazykanika",3,TRUE,FALSE,NA,NA
"3","Don't be bookworms running after marks: ArvindKejriwal to students

https://t.co/grQJVMQZNB https://t.co/Swp9iXfd8I",FALSE,0,NA,2017-05-23 17:30:38,FALSE,NA,"867070279297773568",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","ManjoteSingh",0,FALSE,FALSE,NA,NA
"4","RT @ManjoteSingh: Kejriwal to conduct surprise checks after complaints about Delhi govt hospitals      

https://t.co/JjdOTUif4y",FALSE,0,NA,2017-05-23 17:30:34,FALSE,NA,"867070261958393856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","indigokores",2,TRUE,FALSE,NA,NA
"5","RT @Theranaspeaks: Alcohol has tweeted or the account of Kejriwal has been hacked. It should be probed that this person can never speak.
@A…",FALSE,0,NA,2017-05-23 17:30:30,FALSE,NA,"867070246309548034",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WeDeeptiSumit",3,TRUE,FALSE,NA,NA
"6","Don't be bookworms running after marks: ArvindKejriwal to students

https://t.co/yQCNLQYIT3 https://t.co/CJu0s7f2ix",FALSE,2,NA,2017-05-23 17:30:22,FALSE,NA,"867070210175639552",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","AAPKA_RK",0,FALSE,FALSE,NA,NA
"7","RT @AK_AAP: Don't be bookworms running after marks: #ArvindKejriwal to students

https://t.co/yrY6Sf2gmx",FALSE,0,NA,2017-05-23 17:29:57,FALSE,NA,"867070106551169024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PrashantAAP",1,TRUE,FALSE,NA,NA
"8","I added a video to a @YouTube playlist https://t.co/ICBOOsyu6E Talking tom cat funny jokes in hindi ! lalu kejriwal Narendra modi",FALSE,0,NA,2017-05-23 17:29:54,FALSE,NA,"867070093737459713",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","funking24bd",0,FALSE,FALSE,NA,NA
"9","RT @Theranaspeaks: Alcohol has tweeted or the account of Kejriwal has been hacked. It should be probed that this person can never speak.
@A…",FALSE,0,NA,2017-05-23 17:29:46,FALSE,NA,"867070060925288452",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jeetensingh",3,TRUE,FALSE,NA,NA
"10","RT @csharitha: I have never seen such timepass CM like Arvind Kejriwal whole day tweeting on Twitter. Itne free hai CM? https://t.co/VVAsUl…",FALSE,0,NA,2017-05-23 17:29:36,FALSE,NA,"867070020244824065",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JayaRjs",2,TRUE,FALSE,NA,NA
"11","@ArvindKejriwal This statement of Kejriwal is better than anti national Atul Anjan Sharad Yadav the hopeless nonsen… https://t.co/6UnzHMyBWl",FALSE,0,"ArvindKejriwal",2017-05-23 17:29:23,TRUE,"867044004654858240","867069965630808065","405427035","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","psinha18",0,FALSE,FALSE,NA,NA
"12","RT @AAPKA_RK: High Court Seeks Arvind Kejriwal's Reply On Second Defamation Case By Arun Jaitley

https://t.co/HU5MDFogJa",FALSE,0,NA,2017-05-23 17:29:23,FALSE,NA,"867069963382685696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PRAMODKAUSHIK9",3,TRUE,FALSE,NA,NA
"13","Don't be bookworms running after marks: ArvindKejriwal to students

https://t.co/qR1YOMyXvc https://t.co/Ckr1NCm3U6",FALSE,0,NA,2017-05-23 17:29:16,FALSE,NA,"867069935553589248",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","sahnipuneet",0,FALSE,FALSE,NA,NA
"14","RT @AAPInNews: Don't be bookworms running after marks: @ArvindKejriwal to students

https://t.co/XcapH4BjHF https://t.co/VHebDjJO1M",FALSE,0,NA,2017-05-23 17:28:50,FALSE,NA,"867069825583009792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","crosswordsguy",2,TRUE,FALSE,NA,NA
"15","RT @arunmurthy07: @Atheist_Krishna Guruji, can you please make and tweet a picture of Kejriwal working in his office?",FALSE,0,NA,2017-05-23 17:28:49,FALSE,NA,"867069822911336450",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","makkana138",1,TRUE,FALSE,NA,NA
"16","RT @AAPInNews: Individually I hold Arvind Kejriwal, in high esteem for his credibility, struggle: Shatrughan Sinha

https://t.co/befpp8idEg",FALSE,0,NA,2017-05-23 17:28:49,FALSE,NA,"867069821225226240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SimpyKaurKhalsa",28,TRUE,FALSE,NA,NA
"17","RT @NITIKABjp: Kejriwal demanded proof of #surgicalstrike #indian Army officially released proof of full Surgery of Pak at #Nowshera https:…",FALSE,0,NA,2017-05-23 17:28:46,FALSE,NA,"867069808919142401",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","meghwanshi_p",14,TRUE,FALSE,NA,NA
"18","RT @WoCharLog: Only video proof of Nowshera is not enough. Indian Army officers must present their degrees to Kejriwal for verification.",FALSE,0,NA,2017-05-23 17:28:27,FALSE,NA,"867069728023564289",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","terikahkelunga",201,TRUE,FALSE,NA,NA
"19","RT @NITIKABjp: Kejriwal demanded proof of #surgicalstrike #indian Army officially released proof of full Surgery of Pak at #Nowshera https:…",FALSE,0,NA,2017-05-23 17:28:21,FALSE,NA,"867069706230005760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rajtiwari09",14,TRUE,FALSE,NA,NA
